,YEAR,MONTH,DAY,HOURS,MINUTES,LATITUDE,LONGITUDE,MAGNITUDE
0,1901,9,12,6,15,39.0,22.2,5.6
1,1901,10,25,16,18,37.0,22.2,5.4
2,1901,12,24,23,18,37.2,22.2,5.8
3,1902,4,11,18,35,38.5,23.5,5.8
4,1902,7,5,14,56,40.8,23.2,6.6
5,1902,8,2,5,38,38.5,21.8,5.6
6,1902,11,5,23,50,38.2,20.5,5.5
7,1903,3,15,19,3,37.8,21.2,5.7
8,1903,3,25,22,30,36.0,25.0,5.5
10,1903,7,21,13,3,38.2,21.8,5.6
11,1903,8,11,4,32,36.3,23.0,8.0
12,1903,9,19,18,51,37.8,20.8,5.5
18,1904,4,5,9,33,37.8,22.2,5.5
23,1904,8,11,6,8,37.7,26.9,6.2
26,1905,1,20,2,32,39.7,22.9,5.6
30,1905,6,3,4,15,38.2,20.5,5.5
36,1905,10,23,2,38,41.4,24.0,5.6
37,1905,11,8,22,6,40.3,24.4,7.4
38,1905,11,18,0,19,41.0,23.0,5.6
43,1908,5,17,12,30,35.5,24.0,6.4
46,1909,1,19,4,57,38.0,26.5,6.0
48,1909,3,8,15,55,37.7,21.2,5.5
49,1909,5,30,6,14,38.25,22.2,6.0
50,1909,6,13,9,15,38.3,22.0,5.5
51,1909,6,15,23,30,39.2,22.2,5.6
52,1909,7,15,0,34,37.9,21.5,5.7
54,1910,2,18,5,9,35.7,24.0,6.2
60,1911,3,5,19,55,37.7,22.2,5.2
62,1911,3,16,3,12,38.2,22.0,5.4
63,1911,4,4,15,43,36.5,26.5,6.5
65,1911,5,24,23,26,38.8,20.8,5.0
66,1911,9,20,23,24,37.5,22.5,5.2
67,1911,10,22,22,32,39.5,23.0,5.6
68,1912,1,24,16,22,38.1,20.5,6.3
69,1912,1,25,19,52,38.2,20.6,5.5
70,1912,1,26,15,26,38.0,20.5,5.1
72,1912,2,26,20,34,40.5,21.0,5.3
73,1912,4,15,23,27,38.2,20.5,4.9
74,1912,4,19,0,20,38.2,20.5,5.1
82,1912,9,28,12,53,38.0,20.5,4.8
83,1913,7,6,7,5,35.9,23.2,5.3
84,1913,9,30,7,33,35.0,24.0,5.7
85,1914,9,17,13,6,37.8,21.0,5.5
86,1914,10,17,6,22,38.2,23.5,6.0
87,1914,10,17,10,42,38.2,23.5,5.3
88,1914,11,23,9,2,38.8,20.6,5.0
89,1914,11,23,9,6,38.8,20.6,5.0
90,1914,11,27,14,39,38.8,20.6,6.1
91,1915,1,27,1,9,38.5,20.6,6.3
92,1915,2,20,8,13,39.2,20.5,5.2
93,1915,6,4,17,22,39.1,21.4,6.0
94,1915,6,24,5,20,35.0,24.0,5.2
95,1915,6,24,6,17,35.0,24.0,5.0
96,1915,8,7,15,4,38.5,20.5,6.5
97,1915,8,10,0,47,38.5,20.5,5.7
98,1915,8,10,2,2,38.5,20.5,6.2
99,1915,8,11,9,10,38.5,20.5,5.8
100,1915,8,11,9,58,38.5,20.5,5.4
102,1916,2,6,14,39,39.0,23.5,5.5
103,1916,5,20,22,14,38.2,23.2,5.5
104,1916,7,27,3,6,36.5,25.5,5.4
105,1916,9,27,15,2,38.8,23.0,5.8
107,1917,3,14,18,13,39.7,20.3,5.1
109,1917,4,26,13,14,39.56,19.91,5.0
111,1917,6,4,1,14,38.2,21.8,4.7
112,1917,8,20,23,2,40.31,25.29,6.1
114,1917,12,24,9,13,38.65,21.86,5.8
116,1918,1,27,12,56,38.5,22.0,5.1
117,1918,2,9,12,28,39.26,23.65,5.7
120,1918,4,17,14,20,40.5,25.5,4.8
124,1918,7,11,9,48,38.4,21.4,4.9
125,1918,7,16,20,3,36.22,27.26,6.2
127,1918,11,25,12,38,36.4,27.5,5.1
128,1918,11,28,2,43,36.4,27.5,4.9
131,1919,4,5,4,17,37.0,26.0,5.0
132,1919,7,18,7,1,36.0,28.0,5.0
133,1919,7,20,0,3,36.0,28.0,4.6
137,1919,10,13,13,4,38.4,23.9,4.8
138,1919,10,25,17,10,36.56,25.86,5.8
139,1919,10,25,17,54,38.28,23.72,5.0
141,1919,12,22,23,41,39.75,20.62,5.9
144,1920,2,26,23,4,39.3,23.5,4.8
145,1920,4,2,15,34,36.75,26.64,5.5
147,1920,5,19,3,22,38.0,20.5,5.2
150,1920,7,21,14,29,35.32,25.05,5.6
151,1920,8,10,21,53,36.5,23.8,4.8
152,1920,8,16,14,43,39.7,20.8,5.1
156,1920,10,21,18,57,39.43,20.36,5.7
157,1920,11,15,9,20,35.11,25.89,5.1
160,1920,11,27,16,26,39.3,26.5,5.3
161,1920,11,29,15,48,40.56,21.29,5.2
164,1921,1,23,9,7,36.2,25.5,5.2
165,1921,1,27,11,30,36.0,28.0,5.4
171,1921,7,24,19,20,38.8,26.5,5.2
172,1921,8,2,3,17,37.8,21.2,4.8
174,1921,9,13,8,59,38.82,20.93,5.6
178,1922,1,12,10,41,39.28,20.7,5.0
181,1922,4,20,10,22,36.0,25.5,5.2
186,1922,6,19,0,39,37.8,20.5,4.9
188,1922,8,8,3,49,37.58,24.29,5.4
192,1922,8,15,14,53,37.89,23.17,5.1
193,1922,8,17,15,3,36.0,28.0,5.0
195,1922,11,11,22,13,37.84,22.03,5.2
198,1922,12,7,16,37,40.01,21.51,5.5
202,1923,5,29,11,35,40.51,25.8,5.2
203,1923,6,4,20,33,37.15,24.51,5.1
205,1923,8,14,17,51,39.2,23.7,4.8
209,1923,12,5,20,56,39.84,23.6,6.6
210,1923,12,6,0,26,39.8,23.5,4.7
213,1924,2,16,9,1,37.5,23.0,5.5
214,1924,6,18,17,26,39.36,25.88,4.7
215,1924,11,13,9,43,39.2,20.9,5.3
220,1925,3,17,15,32,37.2,26.2,5.0
224,1925,4,12,19,27,38.64,23.52,5.0
228,1925,7,6,12,15,37.79,21.94,5.8
234,1926,2,26,15,46,37.17,21.59,5.8
235,1926,2,26,16,8,37.85,21.47,5.6
245,1926,6,10,19,16,38.84,21.2,5.1
246,1926,6,26,19,46,36.75,26.98,7.3
248,1926,7,5,9,21,36.55,26.56,5.1
249,1926,8,18,17,5,38.08,20.93,5.5
250,1926,8,30,11,38,36.76,23.16,7.0
255,1927,2,19,23,35,36.8,24.5,4.9
256,1927,3,24,14,46,35.45,26.39,5.7
257,1927,3,29,23,8,35.0,26.0,4.9
258,1927,6,30,22,59,39.33,20.81,5.7
259,1927,7,1,8,19,36.72,22.85,6.5
262,1928,1,22,0,18,38.83,22.6,5.1
265,1928,4,10,1,3,37.4,26.1,5.1
279,1928,4,22,19,59,38.4,23.34,5.4
280,1928,4,22,20,13,38.08,23.12,6.5
281,1928,4,25,0,31,38.0,23.0,5.2
284,1928,4,29,9,49,37.71,23.08,5.5
285,1928,5,26,5,55,39.84,19.8,5.0
289,1928,12,10,7,3,36.32,24.59,5.5
291,1929,1,23,11,14,35.2,24.52,5.2
292,1929,3,27,7,41,36.63,26.68,5.1
294,1929,4,17,11,48,36.55,24.43,5.1
296,1929,11,11,7,35,36.68,26.21,5.0
297,1929,12,20,20,19,40.2,23.8,5.1
299,1930,1,23,10,53,35.44,27.31,5.0
300,1930,2,14,18,38,35.96,24.71,6.2
301,1930,2,23,18,19,39.86,22.75,6.1
303,1930,3,6,9,18,35.03,24.73,5.7
304,1930,3,31,12,33,39.7,23.34,6.1
