YEAR,MONTH,DAY,HOURS,MINUTES,LATITUDE,LONGITUDE,MAGNITUDE
2003,7,0,14,10,35.15,26.11,3.9
1997,12,3,17,40,36.43,27.09,3.5
2010,8,1,22,52,35.44,26.69,2.9
2007,2,0,22,20,37.83,21.46,2.9
2009,12,2,11,8,40.29,23.44,2.7
2001,7,3,7,48,38.95,24.33,3.4
1995,6,2,10,29,38.68,22.51,2.9
2009,8,1,21,51,36.61,24.35,2.6
1985,5,1,10,4,39.35,22.88,3.1
1996,12,2,11,49,36.8,24.18,3.6
2007,7,2,20,0,40.03,21.66,3.3
2007,1,3,8,58,36.21,27.45,3.2
2008,7,1,4,20,35.91,27.78,3.2
1991,1,0,8,14,41.06,22.41,3.1
2007,6,0,5,14,40.81,23.55,3.3
2010,1,2,7,23,38.41,21.99,2.6
1991,3,1,13,30,39.24,20.58,4.3
2016,3,3,4,43,37.54,23.57,3.2
2010,11,0,0,50,38.3,23.4,2.7
2008,2,1,15,6,39.74,23.12,3.0
1983,3,3,0,49,38.19,20.36,3.6
1992,6,2,2,14,39.86,23.89,3.4
1920,11,3,15,48,40.56,21.29,5.2
2003,1,2,4,14,37.81,21.24,3.2
1973,5,0,18,35,39.0,23.5,3.1
2010,4,1,15,10,37.14,22.16,3.1
2006,2,2,18,18,37.11,22.14,3.5
2009,6,0,23,42,38.35,21.82,3.0
1996,7,3,21,31,36.35,27.27,3.8
2010,11,2,10,5,38.13,22.06,2.7
2003,5,3,0,21,38.7,22.64,3.1
2006,5,1,12,19,37.67,22.81,2.8
2015,2,2,3,34,38.18,20.38,3.2
2016,3,1,7,49,35.38,23.54,3.9
1998,10,1,2,56,38.77,20.71,3.0
2015,12,0,13,18,38.51,20.52,2.6
2013,9,3,14,38,38.75,26.02,3.2
1997,11,0,5,34,37.39,22.17,3.4
1995,8,2,19,27,40.26,21.87,3.9
1968,3,3,7,40,37.8,20.9,5.6
1991,1,0,9,52,35.99,25.18,3.1
2002,1,3,19,47,38.37,21.65,2.8
1999,9,1,19,2,37.96,23.76,3.0
2005,12,1,17,43,37.72,27.08,3.1
2010,2,0,19,23,38.81,21.96,3.1
2009,1,3,2,58,36.66,21.72,2.9
1995,11,0,17,39,40.25,21.44,2.9
1995,5,2,8,26,40.05,21.73,3.0
